window,condition,eligible,same_top_k,mean_n,mean_A,n_minus_c,c_minus_A,support_gate_pass,cap_active,affected_probes,G0_above_0p0006,pixel_above_0p0006,react_above_0p0006,simple_above_0p0006,oac_above_0p0006,G0x2_above_0p0006
W1,A,512,52,44.9140625,34.21797307317252,2694.0,2782.397786535669,491,8,68,26,75,70,86,40,111
W1,D_shadow,512,52,44.9140625,34.23079351462955,2694.0,2775.833720509668,491,8,68,26,75,70,86,39,111
W2,A,511,52,38.79843444227006,29.3943811281315,2571.0,2234.4712435248043,497,11,66,0,36,35,49,9,50
W2,D_shadow,511,52,38.79843444227006,29.413720490550155,2571.0,2224.58882932887,497,10,66,0,36,35,49,9,50
