window,gaussian_id,affected_bR,bR_total,A_n,A_c,A_opportunity,D_opportunity,A_support,D_support,A_cap,D_cap,A_G0,D_G0,A_simple,D_simple,A_oac,D_oac,delta_G0,delta_simple,delta_OAC,delta_OAC_minus_delta_G0,A_low_evidence,D_low_evidence,A_OAC_above_threshold,D_OAC_above_threshold,A_OAC_topK,D_OAC_topK
W1,9200,0,0.0,76.0,67.0,56.99693493557093,56.99693493557093,47,47,0,0,4.8945664231830617e-05,4.894566427969876e-05,0.0001027519669625127,0.00010275196701535052,6.419426062444655e-05,6.41942606872276e-05,4.786814255522062e-14,5.283782038203316e-14,6.278105205842488e-14,1.4912909503204258e-14,0,0,0,0,0,0
W1,10003,0,0.0,79.0,68.0,57.96542120353273,57.96542120353273,53,53,0,0,0.00012172986679846872,0.00012172986679846872,0.0002380621182975461,0.0002380621182975461,0.0001630518884247798,0.0001630518884247798,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,10432,0,0.0,100.0,92.0,72.0,72.0,63,63,0,0,0.00021820993123952082,0.00021820993240367404,0.0005467267542367649,0.0005467267577355199,0.0002986030638014495,0.0002986030653945013,1.1641532193535503e-12,3.498754996660025e-12,1.59305180809019e-12,4.2889858873663977e-13,0,0,0,0,0,0
W1,10533,0,0.0,98.0,92.0,74.96520218593334,74.96520218593334,66,66,0,0,4.4477287839846875e-05,4.447728780272465e-05,0.0001219395362322365,0.00012193953621544519,5.7451677879355e-05,5.745167783140391e-05,-3.712222857669284e-14,-1.679131009582613e-14,-4.795109079767934e-14,-1.0828862220986502e-14,0,0,0,0,0,0
W1,10951,0,0.0,11.0,11.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
W1,11703,1,15.469456672668457,23.0,23.0,23.0,23.0,17,17,0,0,0.0005775833095393192,0.0005583196828252846,0.0006597653497977663,0.0006362381267552628,0.0005775833095393192,0.0005583196828252846,-1.926362671403456e-05,-2.3527223042503487e-05,-1.926362671403456e-05,0.0,0,0,0,0,1,1
W1,11810,0,0.0,100.0,96.0,69.77522822108607,69.77522822108607,65,65,0,0,3.3298005850279644e-05,3.329800588665943e-05,7.270842777414173e-05,7.270842783644834e-05,4.6939774934363504e-05,4.693977498564763e-05,3.63797872577655e-14,6.230660518774522e-14,5.1284124787543545e-14,1.4904337529778044e-14,0,0,0,0,0,0
W1,11978,1,1.723852515220642,93.0,75.0,59.6583232825712,59.6583232825712,55,55,0,0,0.00012284617851498082,0.0001217430137034473,0.00028982116916275856,0.00028711275367613963,0.00018718808007335,0.00018550712177597606,-1.1031648115335133e-06,-2.7084154866189344e-06,-1.6809582973739332e-06,-5.777934858404199e-07,0,0,0,0,0,0
W1,12141,0,0.0,9.0,9.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
W1,12496,0,0.0,74.0,64.0,58.04201387286924,58.04201387286924,47,47,0,0,0.00044749415953815617,0.00044749415953815617,0.0006677637303362959,0.0006677637303362959,0.0005625952844712512,0.0005625952844712512,0.0,0.0,0.0,0.0,0,0,0,0,1,1
W1,13225,0,0.0,84.0,71.0,59.497615063288755,59.497615063288755,49,49,0,0,0.00011539111864828604,0.00011539111899476022,0.0001947960890037326,0.0001947960896034328,0.00015991810764747863,0.00015991810812764984,3.46474178557557e-13,5.997002211228369e-13,4.801712142048914e-13,1.3369703564733437e-13,0,0,0,0,0,0
W1,13694,0,0.0,100.0,100.0,90.25290428902204,90.25290428902204,82,82,0,0,0.0005930020232284505,0.0005930020238105271,0.0007895468139245457,0.0007895468132345449,0.0006543268972024879,0.0006543268978447596,5.82076596124248e-13,-6.900007908788863e-13,6.422717175810777e-13,6.01951214568297e-14,0,0,1,1,1,1
W1,13739,1,0.009047050029039383,28.0,22.0,21.0,21.0,20,20,0,0,0.0001444763686034221,0.0001444054716724295,0.0003272132910006504,0.00032697112390534715,0.00018492975181238033,0.0001848390037407098,-7.08969309926033e-08,-2.421670953032672e-07,-9.07480716705344e-08,-1.9851140677931093e-08,0,0,0,0,0,0
W1,14014,0,0.0,20.0,17.0,16.999546129621905,16.999546129621905,16,16,0,0,0.00029988657092214763,0.00029988657310493495,0.0004667438131580547,0.00046674381661862156,0.0003427349171122838,0.00034273491960695176,2.182787316781093e-12,3.4605668482699803e-12,2.494667937936318e-12,3.1188062115522497e-13,0,0,0,0,0,0
W1,14244,0,0.0,17.0,17.0,16.0,16.0,15,15,0,0,0.00010917187894258805,0.00010917187894258805,0.00015941556338954185,0.00015941556338954185,0.00011463047288971746,0.00011463047288971746,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,14877,1,0.6054233312606812,100.0,100.0,88.13953087936066,88.3253491978685,78,79,0,0,0.0001804635819064515,0.00017974655506463932,0.0004702334429540598,0.00046706664486473055,0.0002036933804540897,0.00020247572188066056,-7.170268418121796e-07,-3.166798089329246e-06,-1.2176585734291338e-06,-5.006317316169542e-07,0,0,0,0,0,0
W1,16016,0,0.0,27.0,22.0,19.454461931135004,19.454461931135004,16,16,0,0,0.0006806950104289514,0.0006806950104289514,0.0010633154733481409,0.0010633154733481409,0.0008996814928116473,0.0008996814928116473,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,16412,0,0.0,12.0,12.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0
W1,17272,1,1.2693203687667847,89.0,77.0,50.60681352659977,50.60681352659977,46,46,0,0,6.235432907057962e-05,6.100737690052451e-05,0.00015851922566517758,0.00015625246099082392,0.00010619467112357966,0.00010390069819739701,-1.3469521700551062e-06,-2.266764674353658e-06,-2.2939729261826523e-06,-9.470207561275461e-07,0,0,0,0,0,0
W1,17376,0,0.0,99.0,83.0,69.35129013568383,69.35129013568383,61,61,0,0,2.0546227420327314e-05,2.0546227420327314e-05,5.576158037959666e-05,5.576158037959666e-05,2.8851045705932276e-05,2.8851045705932276e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,17590,0,0.0,70.0,59.0,51.471029588493685,51.471029588493685,47,47,0,0,9.893412602330897e-05,9.893412623119348e-05,0.00013630616115863404,0.00013630616131479395,0.00013198106074532786,0.00013198106102265197,2.0788450442402878e-13,1.5615991572764942e-13,2.773241163621376e-13,6.943961193810883e-14,0,0,0,0,0,0
