scene,condition,state_grade,scope,views,candidates,top_k,mean_n,mean_A,mean_u,positive_g_zero_A,support_gate_pass,cap_active,oac_top_ids
android,A,MATCHED_TERMINAL_STATE,512-probe,8,512,52,6.841796875,4.833652724229287,0.6042065905286609,0,471,0,341962;409556;76431;450383;410979;447937;86439;240771;3085;422762;57676;29806;58446;39720;187446;255649;10987;27970;9137;520301;8763;292428;246265;25140;19955;71354;26731;534967;38069;155784;153382;132336;323705;512919;86922;84427;40925;297689;421023;33968;39326;27358;47274;6960;83483;1700;72557;17453;38482;16515;316873;94442
android,B,MATCHED_TERMINAL_STATE,512-probe,8,512,52,6.841796875,5.767578125,0.720947265625,0,479,0,341962;409556;25140;76431;450383;410979;86439;447937;240771;3085;422762;520301;29806;57676;26731;39720;58446;86922;71354;19955;27970;187446;246265;38069;10987;255649;9137;292428;8763;27358;534967;153382;155784;21268;104586;83483;132336;323705;512919;39326;24524;32415;84427;131751;40925;6960;421023;33968;176185;1700;48677;72557
android,C,MATCHED_TERMINAL_STATE,512-probe,8,512,52,6.841796875,2.4940135053206745,0.31175168816508436,0,302,5,409556;240771;341962;187446;57676;29806;422762;76431;71354;3085;86439;58446;153382;27970;297689;171977;421023;520301;27358;255649;155784;447937;16515;94442;410979;219295;6960;83483;9137;38482;72557;47274;389506;271040;48677;90162;70899;1700;246265;40925;10987;8763;62974;132336;31882;4454;33968;39326;32960;215368;84427;41341
android,D,MATCHED_TERMINAL_STATE,512-probe,8,512,52,6.841796875,2.50579125356335,0.3132239066954188,0,302,5,409556;240771;341962;187446;57676;29806;422762;76431;71354;3085;86439;58446;153382;27970;297689;171977;421023;520301;27358;255649;155784;447937;16515;94442;410979;219295;6960;83483;9137;62974;38482;72557;47274;389506;271040;48677;90162;70899;1700;246265;40925;10987;8763;132336;31882;4454;33968;39326;32960;215368;84427;41341
room,A,MATCHED_TERMINAL_STATE,512-probe,8,512,52,3.3125,3.1502633459439915,0.39378291824299894,0,261,0,708333;644381;153481;333293;78119;520942;631601;47484;24584;449087;645640;134969;395670;122328;19600;146358;53677;50703;298190;3829;202463;670831;452440;663808;28186;623605;482014;102244;157312;296396;67256;289941;26059;156040;44415;636991;549554;662432;226023;60249;622269;660446;651714;38068;33786;32542;621008;294145;496572;696521;41600;2234
room,B,MATCHED_TERMINAL_STATE,512-probe,8,512,52,3.3125,3.150390625,0.393798828125,0,261,0,644381;708333;153481;333293;78119;520942;631601;645640;47484;24584;449087;134969;395670;122328;19600;146358;53677;50703;298190;3829;202463;670831;452440;663808;28186;623605;482014;102244;157312;296396;67256;289941;26059;156040;44415;636991;549554;662432;226023;60249;622269;660446;651714;38068;33786;32542;621008;294145;496572;696521;41600;2234
room,C,MATCHED_TERMINAL_STATE,512-probe,8,512,52,3.3125,1.5858106520121944,0.1982263315015243,0,136,0,78119;153481;449087;134969;122328;631601;298190;28186;296396;3829;44415;452440;226023;47484;482014;660446;520942;636991;644381;60249;670831;708333;621008;395670;53677;662432;102244;651714;26059;96799;549554;623605;67256;7509;663808;41600;62481;289941;40512;94943;9004;43643;2234;127539;69049;26547;248111;696521;88179;96316;675301;237004
room,D,MATCHED_TERMINAL_STATE,512-probe,8,512,52,3.3125,1.5985193760080936,0.1998149220010117,0,137,0,78119;153481;449087;134969;122328;631601;298190;28186;296396;3829;44415;452440;226023;47484;482014;660446;520942;636991;644381;60249;670831;708333;621008;395670;53677;662432;651714;102244;26059;96799;549554;623605;67256;7509;663808;41600;62481;289941;40512;94943;9004;43643;2234;127539;69049;26547;696521;248111;88179;96316;675301;237004
