scene,view,repeat,warmup,original_forward_seconds,diagnostic_render_seconds,diagnostic_probe_seconds,diagnostic_total_seconds,original_peak_bytes,diagnostic_peak_bytes,raw_peak_difference_bytes_not_incremental
android,2clutter019.JPG,0,1,0.002105,0.002192,0.001512,0.003704,691657216,737309696,45652480
android,2clutter019.JPG,1,0,0.002485,0.002112,0.001507,0.0036190000000000003,871143424,783186944,-87956480
android,2clutter019.JPG,2,0,0.002065,0.002123,0.001495,0.0036179999999999997,869387776,782090240,-87297536
android,2clutter019.JPG,3,0,0.002082,0.002082,0.001492,0.003574,870580224,781803008,-88777216
room,DSCF4668.JPG,0,1,0.002404,0.002419,0.001564,0.003983,922858496,970062848,47204352
room,DSCF4668.JPG,1,0,0.002416,0.002402,0.001563,0.003965,1044388352,924440576,-119947776
room,DSCF4668.JPG,2,0,0.002406,0.002428,0.001562,0.0039900000000000005,1043744768,924956672,-118788096
room,DSCF4668.JPG,3,0,0.00243,0.002379,0.001572,0.003951,1044258816,924440576,-119818240
