scene,method,seed,image_name,psnr,ssim,lpips,evaluator_id,checkpoint_sha256
android,RU,42,1extra006.JPG,24.58967399597168,0.7796532511711121,0.17133696377277374,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra007.JPG,22.74616050720215,0.7361754775047302,0.16698519885540009,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra008.JPG,24.04608726501465,0.7826657891273499,0.16001267731189728,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra009.JPG,24.44171714782715,0.8505001664161682,0.12001508474349976,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra010.JPG,24.936500549316406,0.8269703388214111,0.14316555857658386,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra011.JPG,23.749895095825195,0.8113083243370056,0.12862221896648407,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra012.JPG,27.284889221191406,0.8771319389343262,0.1459549367427826,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra013.JPG,24.385400772094727,0.8226730823516846,0.15868066251277924,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra014.JPG,22.888715744018555,0.8110156059265137,0.1697751134634018,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra015.JPG,26.908403396606445,0.8772357106208801,0.15003667771816254,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra016.JPG,25.615257263183594,0.8578475117683411,0.19613021612167358,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra017.JPG,25.907114028930664,0.8795668482780457,0.16558760404586792,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
android,RU,42,1extra018.JPG,24.42840576171875,0.8626882433891296,0.17937488853931427,puri-gs-gsplat153-independent-eval-v1,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a
patio_high,B1,42,extra_0000_IMG_8467.png,11.037875175476074,0.2869654595851898,0.7453433871269226,puri-gs-gsplat153-independent-eval-v1,31f618c78c6444b69b499d3b616f09382dba0e76e6c96952ccb5806ea3873503
patio_high,B1,42,extra_0001_IMG_8468.png,11.828033447265625,0.3563733398914337,0.7934924364089966,puri-gs-gsplat153-independent-eval-v1,31f618c78c6444b69b499d3b616f09382dba0e76e6c96952ccb5806ea3873503
