scene,method,seed,protocol_id,evaluator_id,psnr,ssim,lpips,test_image_count,gaussian_count,strict_median_fps,training_seconds,checkpoint_sha256,evaluation_commit,source
android,B1,42,android-colmap-factor4-keyword-v1,puri-gs-gsplat153-independent-eval-v1,23.3873233795166,0.7943667769432068,0.17030084133148193,19,1218407,255.97039816016343,614.4800188541412,9ea312974862c3cd3b4fdfea07be90b7e3aeb799a8e31ae59902fbc8cfb9db7c,9e29230952be700dc5b527008e2f60f05b82717d,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_b1_30k\independent_eval\test_metrics.json
android,RU,42,android-colmap-factor4-keyword-v1,puri-gs-gsplat153-independent-eval-v1,24.64716148376465,0.821186900138855,0.16469763219356537,19,551297,479.11271433037535,633.9885854721069,11737109e7742872ca28f9d32591d0252bb6339aa8fc77c41ba314ee3656f73a,9e29230952be700dc5b527008e2f60f05b82717d,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\android_ru_30k\independent_eval\test_metrics.json
patio_high,B1,42,patio-high-internal-factor4-v1,puri-gs-gsplat153-independent-eval-v1,14.216721534729004,0.424997478723526,0.6214948892593384,45,3235690,111.0492757579698,1109.4157421588898,31f618c78c6444b69b499d3b616f09382dba0e76e6c96952ccb5806ea3873503,749d584bd4741ec9619b158942da93b872e87029,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_b1_30k\independent_eval\test_metrics.json
patio_high,RU,42,patio-high-internal-factor4-v1,puri-gs-gsplat153-independent-eval-v1,19.340776443481445,0.6517274379730225,0.3012421131134033,45,435779,498.0464841358637,551.6290900707245,b3c9fca6ed4470c8a66aba31e2917bf52baa9fed6d2f12a99589ff4fbddce1ae,749d584bd4741ec9619b158942da93b872e87029,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-ontogo-749d584b\patio_high_ru_30k\independent_eval\test_metrics.json
room,B1,42,room-colmap-factor4-every8-historical-v1,puri-gs-gsplat153-independent-eval-v1,31.3070068359375,0.9333276152610779,0.07671981304883957,39,1301078,263.9412538261334,,,da5089cd34bad85780e974f732c2bc722b05c77f,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_b1_30k\independent_eval\test_metrics.json
room,RU,42,room-colmap-factor4-every8-historical-v1,puri-gs-gsplat153-independent-eval-v1,32.05502700805664,0.9464237689971924,0.0700598657131195,39,708337,424.24063613587913,,,da5089cd34bad85780e974f732c2bc722b05c77f,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\phase_r\room_ru_30k\independent_eval\test_metrics.json
garden,B1,42,garden-colmap-factor4-every8-v1,puri-gs-gsplat153-independent-eval-v1,27.71672821044922,0.8739566206932068,0.06815081834793091,24,3798503,,1631.61976480484,06e7911a76285db4c4c545cbfa1bdfccf3690764597fe73671f265f305afd35a,9e29230952be700dc5b527008e2f60f05b82717d,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_b1_30k\independent_eval\test_metrics.json
garden,RU,42,garden-colmap-factor4-every8-v1,puri-gs-gsplat153-independent-eval-v1,26.650571823120117,0.8573052287101746,0.09050631523132324,24,2274197,,1347.4549956321716,e198d8af74eaed8c8b7da8d97e75b891102b2f4cbb5b548c7dc23207cae915a9,9e29230952be700dc5b527008e2f60f05b82717d,E:\6-Project\1-UncertainNerf\PURI-GS-RU\visualizations\source-artifacts\logs-puri\ru-generalization-rerun-9e292309\garden_ru_30k\independent_eval\test_metrics.json
