scene,profile,psnr,ssim,lpips,num_GS,peak_vram_gib,train_seconds,render_fps,latency_mean_ms,latency_p50_ms,latency_p95_ms,warmup_frames,measured_frames,checkpoint_bytes,metric_consistency
garden,b0,26.746008157730103,0.8386244376500448,0.11165578135599692,4151470,6.130912780761719,417.6022627353668,75.21388805656208,13.295416921513,13.312925497302786,13.862129472545348,10,24,979749400,"{'psnr': {'recomputed': 26.746008157730103, 'official': 26.746007919311523, 'absolute_difference': 2.384185791015625e-07, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.8386244376500448, 'official': 0.8386244773864746, 'absolute_difference': 3.973642981325298e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.11165578135599692, 'official': 0.11165578663349152, 'absolute_difference': 5.277494594113641e-09, 'tolerance': 0.002}}"
garden,b1,26.8216495513916,0.8539922088384628,0.09328804103036721,3023682,4.5146026611328125,381.68873143196106,97.81434973328295,10.223448836768512,10.078016493935138,11.19120191433467,10,24,713591512,"{'psnr': {'recomputed': 26.8216495513916, 'official': 26.821651458740234, 'absolute_difference': 1.9073486328125e-06, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.8539922088384628, 'official': 0.853992223739624, 'absolute_difference': 1.4901161193847656e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.09328804103036721, 'official': 0.09328804910182953, 'absolute_difference': 8.071462317960076e-09, 'tolerance': 0.002}}"
garden,a1,26.92573602994283,0.8553479388356209,0.09196605005611976,2894457,4.327853679656982,379.42651104927063,99.41250566832448,10.059096622474803,9.958776005078107,11.001385684357956,10,24,683094360,"{'psnr': {'recomputed': 26.92573602994283, 'official': 26.925735473632812, 'absolute_difference': 5.563100167194079e-07, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.8553479388356209, 'official': 0.8553479909896851, 'absolute_difference': 5.21540641784668e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.09196605005611976, 'official': 0.09196605533361435, 'absolute_difference': 5.277494594113641e-09, 'tolerance': 0.002}}"
room,b0,31.210984841371193,0.9391300800519112,0.08211736533886348,1395620,2.0713343620300293,154.78628015518188,214.03624781834347,4.672105824097227,4.670276015531272,5.226286186370999,10,39,329368856,"{'psnr': {'recomputed': 31.210984841371193, 'official': 31.21098518371582, 'absolute_difference': 3.423446273131958e-07, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.9391300800519112, 'official': 0.9391300678253174, 'absolute_difference': 1.2226593848474465e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.08211736533886348, 'official': 0.08211736381053925, 'absolute_difference': 1.5283242310593081e-09, 'tolerance': 0.002}}"
room,b1,31.336373451428535,0.9418216362977639,0.07730618830865775,959496,1.4438233375549316,128.8503119945526,285.39286900460723,3.5039417890425866,3.5618949914351106,3.87458938639611,10,39,226443608,"{'psnr': {'recomputed': 31.336373451428535, 'official': 31.33637237548828, 'absolute_difference': 1.0759402542248608e-06, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.9418216362977639, 'official': 0.9418216943740845, 'absolute_difference': 5.807632053045353e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.07730618830865775, 'official': 0.07730618864297867, 'absolute_difference': 3.343209181716489e-10, 'tolerance': 0.002}}"
room,a1,30.88668564038399,0.9405928406959925,0.07909939471536721,894139,1.349198818206787,132.92829012870789,300.23468167908504,3.3307277973598013,3.3834169735200703,3.693272784585133,10,39,211019416,"{'psnr': {'recomputed': 30.88668564038399, 'official': 30.88668441772461, 'absolute_difference': 1.222659381738822e-06, 'tolerance': 0.02}, 'ssim': {'recomputed': 0.9405928406959925, 'official': 0.9405928254127502, 'absolute_difference': 1.5283242227326355e-08, 'tolerance': 0.002}, 'lpips': {'recomputed': 0.07909939471536721, 'official': 0.07909940183162689, 'absolute_difference': 7.116259678752179e-09, 'tolerance': 0.002}}"
