selected_index,sorted_position,image_name,spearman_degradation_vs_gradient,spearman_degradation_vs_residual,low_q_0_8_ratio,low_q_0_5_ratio,high_gradient_threshold,edge_overlap_q_0_8,edge_overlap_q_0_5,responsibility_mean,residual_mean
0,0,2clutter019.JPG,0.21383428642722868,0.7715904643623924,0.2367585839520706,0.19535700428128924,0.31018104553222653,0.17488500255452719,0.1345613928771566,0.8308194279670715,0.05837481841444969
1,17,2clutter036.JPG,0.38952951143519154,0.7336411243863051,0.18083218792952643,0.11565005228302544,0.3008869349956511,0.2661255127850068,0.2090370420893578,0.8799439668655396,0.040404267609119415
2,35,2clutter054.JPG,0.24726630192551802,0.7136784865755812,0.1712292100988445,0.09909441854041577,0.3310285031795501,0.22419209881302327,0.1826254313753302,0.894602358341217,0.03259739652276039
3,52,2clutter071.JPG,0.40188949808878427,0.7038025808741734,0.16874066961731457,0.06063252596065949,0.3849448800086974,0.22704632437016592,0.17475812399291166,0.9101096987724304,0.03026006743311882
4,69,2clutter088.JPG,0.12005956253294314,0.792035082792905,0.23699007608988734,0.16836449489336236,0.3881137073040008,0.14231324231245246,0.10560524979410488,0.847786009311676,0.049654535949230194
5,86,2clutter105.JPG,0.5791014905324728,0.7419005351503597,0.22996376358865425,0.09850911171468595,0.40837453007698055,0.26859149612630784,0.2438213498865903,0.8718543648719788,0.0225114356726408
6,104,2clutter123.JPG,0.4050970280976298,0.6973409294520122,0.15983611408879564,0.06546097844887115,0.4269191801548004,0.20911611984587755,0.17360204142792496,0.9070645570755005,0.022229228168725967
7,121,2clutter140.JPG,0.46628989269265325,0.709676707161647,0.16947065902917985,0.06861505882662422,0.3537654757499694,0.2734427145563429,0.22309122624986885,0.9034845232963562,0.029572339728474617
